county,Median_Income ,Education_Level,Homeownership,Population_Density
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Calhoun County,48413,21.2,72.89,73
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Gogebic County,39934,19.8,80.49,5.3
Gogebic County,39934,19.8,80.49,5.3
Gogebic County,39934,19.8,80.49,5.3
Gogebic County,39934,19.8,80.49,5.3
Gogebic County,39934,19.8,80.49,5.3
Gogebic County,39934,19.8,80.49,5.3
Gogebic County,39934,19.8,80.49,5.3
Gogebic County,39934,19.8,80.49,5.3
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Grand Traverse County,64591,35.1,78.05,76.8
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Ingham County,52837,38.5,60.63,201.3
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Kent County,61675,35.2,71.96,294.6
Mackinac County,46645,21.8,77.73,4.1
Mackinac County,46645,21.8,77.73,4.1
Mackinac County,46645,21.8,77.73,4.1
Mackinac County,46645,21.8,77.73,4.1
Mackinac County,46645,21.8,77.73,4.1
Mackinac County,46645,21.8,77.73,4.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
Oakland County,40638,46.4,75.07,556.1
